central_density,radius,mass
3.130000e+15,9.567324e+05,3.648467e+33
3.140000e+15,9.559127e+05,3.645612e+33
3.150000e+15,9.550567e+05,3.642992e+33
3.160000e+15,9.540092e+05,3.639335e+33
3.170000e+15,9.534426e+05,3.637846e+33
3.180000e+15,9.525981e+05,3.635232e+33
3.190000e+15,9.515461e+05,3.631314e+33
3.200000e+15,9.510090e+05,3.630112e+33
3.210000e+15,9.501775e+05,3.627514e+33
3.220000e+15,9.491374e+05,3.623615e+33
3.230000e+15,9.486115e+05,3.622411e+33
3.240000e+15,9.477935e+05,3.619834e+33
3.250000e+15,9.467925e+05,3.615976e+33
3.260000e+15,9.462511e+05,3.614755e+33
3.270000e+15,9.453277e+05,3.611644e+33
3.280000e+15,9.444543e+05,3.608345e+33
3.290000e+15,9.439263e+05,3.607139e+33
3.300000e+15,9.429072e+05,3.603542e+33
3.310000e+15,9.421527e+05,3.600763e+33
3.320000e+15,9.414123e+05,3.598528e+33
3.330000e+15,9.406080e+05,3.595698e+33
3.340000e+15,9.398854e+05,3.593221e+33
3.350000e+15,9.391553e+05,3.590991e+33
3.360000e+15,9.384196e+05,3.588237e+33
3.370000e+15,9.376512e+05,3.585716e+33
3.380000e+15,9.369326e+05,3.583500e+33
3.390000e+15,9.362082e+05,3.580763e+33
3.400000e+15,9.354496e+05,3.578250e+33
3.410000e+15,9.345035e+05,3.574775e+33
3.420000e+15,9.340290e+05,3.573328e+33
3.430000e+15,9.332828e+05,3.570837e+33
3.440000e+15,9.323539e+05,3.567126e+33
3.450000e+15,9.318826e+05,3.565938e+33
3.460000e+15,9.310319e+05,3.562945e+33
3.470000e+15,9.302280e+05,3.559768e+33
3.480000e+15,9.297695e+05,3.558600e+33
3.490000e+15,9.288224e+05,3.555142e+33
3.500000e+15,9.281358e+05,3.552465e+33
3.510000e+15,9.274654e+05,3.550314e+33
3.520000e+15,9.267844e+05,3.547640e+33
3.530000e+15,9.260742e+05,3.545205e+33
3.540000e+15,9.254128e+05,3.543061e+33
3.550000e+15,9.247439e+05,3.540414e+33
3.560000e+15,9.240424e+05,3.537987e+33
3.570000e+15,9.231740e+05,3.534898e+33
3.580000e+15,9.227327e+05,3.533229e+33
3.590000e+15,9.220420e+05,3.530821e+33
3.600000e+15,9.211682e+05,3.527234e+33
3.610000e+15,9.207515e+05,3.526091e+33
3.620000e+15,9.199563e+05,3.523200e+33
3.630000e+15,9.192056e+05,3.520128e+33
3.640000e+15,9.188013e+05,3.519008e+33
3.650000e+15,9.179089e+05,3.515667e+33
3.660000e+15,9.172749e+05,3.513083e+33
3.670000e+15,9.166582e+05,3.511010e+33
3.680000e+15,9.160295e+05,3.508431e+33
3.690000e+15,9.153717e+05,3.506080e+33
3.700000e+15,9.145461e+05,3.503077e+33
3.710000e+15,9.141458e+05,3.501463e+33
3.720000e+15,9.134962e+05,3.499122e+33
3.730000e+15,9.126645e+05,3.495639e+33
3.740000e+15,9.122887e+05,3.494536e+33
3.750000e+15,9.115357e+05,3.491733e+33
3.760000e+15,9.108259e+05,3.488750e+33
3.770000e+15,9.102420e+05,3.486735e+33
3.780000e+15,9.096652e+05,3.484476e+33
3.790000e+15,9.090163e+05,3.481919e+33
3.800000e+15,9.084408e+05,3.479916e+33
3.810000e+15,9.078510e+05,3.477412e+33
3.820000e+15,9.072333e+05,3.475135e+33
3.830000e+15,9.064486e+05,3.472223e+33
3.840000e+15,9.060862e+05,3.470663e+33
3.850000e+15,9.054762e+05,3.468397e+33
3.860000e+15,9.046830e+05,3.465011e+33
3.870000e+15,9.043463e+05,3.463957e+33
3.880000e+15,9.035280e+05,3.460799e+33
3.890000e+15,9.029600e+05,3.458341e+33
3.900000e+15,9.024156e+05,3.456397e+33
3.910000e+15,9.018533e+05,3.453949e+33
3.920000e+15,9.012654e+05,3.451733e+33
3.930000e+15,9.005103e+05,3.448890e+33
3.940000e+15,9.001754e+05,3.447374e+33
3.950000e+15,8.995945e+05,3.445167e+33
3.960000e+15,8.988289e+05,3.441854e+33
3.970000e+15,8.985216e+05,3.440843e+33
3.980000e+15,8.977309e+05,3.437753e+33
3.990000e+15,8.971915e+05,3.435360e+33
